ID,Sub-ID,Discoverer,Date discovered,Solution
1,1,Corina Miner,,5554555b4444bbbaa34bb222aaa333222001a11337770000111888887776699999986666
1,2,Corina Miner,2014-02-16,555b5554bbb4444aa3bb4222aaa333222001a11337770000111888887776699999986666
1,3,Corina Miner,2018-10-01,5554555b4444bbbaa34222bbaaa333222001a11337770000111888887776699999986666
1,4,Corina Miner,2018-10-01,5554555b4444bbbaa34bb222aaa333002221a11330000777111888887776699999986666
1,5,Corina Miner,2018-10-01,555b5554bbb4444aa3bb4222aaa333002221a11330000777111888887776699999986666
1,6,Corina Miner,2018-10-01,5554555b4444bbb9934bb222998333222009988337770000888a111177766aaaaa116666
1,7,Corina Miner,2018-10-01,555b5554bbb4444993bb4222998333222009988337770000888a111177766aaaaa116666
1,8,Corina Miner,2018-10-01,5554555b4444bbb9934222bb998333222009988337770000888a111177766aaaaa116666
1,9,Corina Miner,2018-10-01,5554555b4444bbb9934bb222998333002229988330000777888a111177766aaaaa116666
1,10,Corina Miner,2018-10-01,555b5554bbb4444993bb4222998333002229988330000777888a111177766aaaaa116666
1,11,Corina Miner,2018-10-01,222222007770000aa3777555aaa3334555b1a11334444bbb111888884bb6699999986666
1,12,Corina Miner,2018-10-01,222222007770000aa3777555aaa333b55541a1133bbb444411188888bb46699999986666
1,13,Corina Miner,2018-10-01,222002220000777aa3777555aaa3334555b1a11334444bbb111888884bb6699999986666
1,14,Corina Miner,2018-10-01,222002220000777aa3777555aaa333b55541a1133bbb444411188888bb46699999986666
1,15,Corina Miner,2018-10-01,2222220077700009937775559983334555b9988334444bbb888a11114bb66aaaaa116666
1,16,Corina Miner,2018-10-01,222222007770000993777555998333b5554998833bbb4444888a1111bb466aaaaa116666
1,17,Corina Miner,2018-10-01,2220022200007779937775559983334555b9988334444bbb888a11114bb66aaaaa116666
1,18,Corina Miner,2018-10-01,222002220000777993777555998333b5554998833bbb4444888a1111bb466aaaaa116666
1,19,Corina Miner,2018-10-01,222222007770000aa3777555aaa333455561a11334444b66111888884bb669999998bbb6
1,20,Corina Miner,2018-10-01,222002220000777aa3777555aaa333455561a11334444b66111888884bb669999998bbb6
1,21,Corina Miner,2018-10-01,222222007770000993777555998333455569988334444b66888a11114bb66aaaaa11bbb6
1,22,Corina Miner,2018-10-01,222002220000777993777555998333455569988334444b66888a11114bb66aaaaa11bbb6
1,23,Corina Miner,2018-10-01,222222007770000aa3777555aaa333b55561a1133bbbbb66111888884446699999984446
1,24,Corina Miner,2018-10-01,222002220000777aa3777555aaa333b55561a1133bbbbb66111888884446699999984446
1,25,Corina Miner,2018-10-01,222222007770000993777555998333b5556998833bbbbb66888a111144466aaaaa114446
1,26,Corina Miner,2018-10-01,222002220000777993777555998333b5556998833bbbbb66888a111144466aaaaa114446
2,1,Corina Miner,,555b5559bbb0099bb30000991113332229a117133222aaa8667777444aa8866667444888
2,2,Corina Miner,2014-02-16,555b5559bbb0099bb30000996773332229a667733222aaa8667711444aa8861111444888
2,3,Corina Miner,2018-10-01,555b5559bbb0099bb30000991113332229611a1332227766aaaaa8444776688888444776
2,4,Corina Miner,2018-10-01,555b5559bbb0099bb30000998883332229688aa3322277668aaa114447766a1111444776
2,5,Corina Miner,2018-10-01,555b5559bbb0099bb30000991113332229611a1337722266aaaaa8774446688888774446
2,6,Corina Miner,2018-10-01,555b5559bbb0099bb30000998883332229688aa3377222668aaa117744466a1111774446
2,7,Corina Miner,2018-10-01,555b5559bbb0099bba0000998aaaaa222963888882227766333311444776631111444776
2,8,Corina Miner,2018-10-01,555b5559bbb0099bba0000998aaaaa222963888887722266333311774446631111774446
2,9,Corina Miner,2018-10-01,555b5559bbb0099bb70000997777662229a376666222aaa8333311444aa8831111444888
3,1,Corina Miner,,555055590003399b01033399bbb1132229abb7111222aaa8667777444aa8866667444888
4,1,Corina Miner,,88822288992228499555444499a555047763aaaaa00077663333110b0776631111bbbbb6
4,2,Corina Miner,2014-02-22,28822288992288499555444499a555047763aaaaa00077663333110b0776631111bbbbb6
5,1,Corina Miner,,88888111481101044446000b55549660bbba5559966777bbaaa9926233777aa922223333
6,1,Corina Miner,,992992229932211b33311114bbb3300444488abb0000477788aaa5557776688aa5556666
6,2,Corina Miner,2016-01-26,992992229932211b33311114bbb33004444777bb00004a8866777555aaa886666555aa88
7,1,Corina Miner,,88822288002228700007777b6666a7bbbbb664aaaaa33555444411333355541111999999
7,2,Corina Miner,2015-12-22,28822288002288700007777b6666a7bbbbb664aaaaa33555444411333355541111999999
8,1,Corina Miner,,5550555a000aaa82020aa88b322228881bb3333744411bbb377774441116679999996666
8,2,Yuta Takagi,2014-02-16,222002220000a88555aaa88b3555aa881bb3333744411bbb377774441116679999996666
9,1,Corina Miner,,2220022200001119977b1a1199877bbaaa6998877bbbaa66888335554446633335554446
9,2,Corina Miner,2018-10-02,222002220000111997711a1b99877aaabb6998877aabbb66888335554446633335554446
9,3,Corina Miner,2018-10-02,2220022200001113377b1a1133377bbaaa6555377bbbaa66555888884446699999984446
9,4,Corina Miner,2018-10-02,222002220000111337711a1b33377aaabb6555377aabbb66555888884446699999984446
9,5,Corina Miner,2018-10-02,2220022200001113333b1a1177733bbaaa6555777bbbaa66555888884446699999984446
